Hello! Welcome to the world of QE Quality Control! Minimum area for a real peak: 1000. RT flexibility: 0.4. Blank can be this fraction of a sample: 0.3. S/N ratio: 4. Parts per million flexibility: 7. Processed on: 2019-11-04 09:26:21. 
"Replicate.Name","Mass.Feature","Retention.Time","Area","Background","Height","Mass.Error.PPM","Column","SN.Flag","area.min.Flag","ppm.Flag","RT.Flag","blank.Flag","all.Flags","Area.with.QC"
"180205_Smp_L1C32DCMless10m_A","Adenine",4.73,164853072,4106603,"7011516",-3.8,"HILICPos",NA,NA,NA,NA,NA,"",164853072
"180205_Smp_L1C32DCMless10m_B","Adenine",4.7,194121200,5672300,"8274041",-3.7,"HILICPos",NA,NA,NA,NA,NA,"",194121200
"180205_Smp_L1C32DCMless10m_C","Adenine",4.72,215616752,5246632,"9189928",-4.2,"HILICPos",NA,NA,NA,NA,NA,"",215616752
"180205_Smp_L1C32DCMless20m_A","Adenine",4.75,247889120,6014059,"10633365",-4.1,"HILICPos",NA,NA,NA,NA,NA,"",247889120
"180205_Smp_L1C32DCMless20m_B","Adenine",4.75,256028944,6272696,"10347923",-4,"HILICPos",NA,NA,NA,NA,NA,"",256028944
"180205_Smp_L1C32DCMless20m_C","Adenine",4.7,240919360,6401924,"9722856",-4.4,"HILICPos",NA,NA,NA,NA,NA,"",240919360
"180205_Smp_L1C33DCM_A","Adenine",4.72,182952448,4671944,"7596870",-4.4,"HILICPos",NA,NA,NA,NA,NA,"",182952448
"180205_Smp_L1C33DCM_B","Adenine",4.72,226297920,5654874,"9738111",-3.8,"HILICPos",NA,NA,NA,NA,NA,"",226297920
"180205_Smp_L1C33DCM_C","Adenine",4.72,254361232,6049934,"10341245",-4.3,"HILICPos",NA,NA,NA,NA,NA,"",254361232
"180205_Smp_L1C33DCMplus10m_A","Adenine",4.7,272350752,6700021,"12056979",-4,"HILICPos",NA,NA,NA,NA,NA,"",272350752
"180205_Smp_L1C33DCMplus10m_B","Adenine",4.7,186684416,5333153,"7950584",-3.9,"HILICPos",NA,NA,NA,NA,NA,"",186684416
"180205_Smp_L1C33DCMplus10m_C","Adenine",4.7,134474864,4344798,"5503881",-4.2,"HILICPos",NA,NA,NA,NA,NA,"",134474864
"180205_Smp_L1C33DCMplus20m_A","Adenine",4.75,150353248,3791693,"6510352",-4,"HILICPos",NA,NA,NA,NA,NA,"",150353248
"180205_Smp_L1C33DCMplus20m_B","Adenine",4.7,119144328,3247972,"5215620",-3.9,"HILICPos",NA,NA,NA,NA,NA,"",119144328
"180205_Smp_L1C33DCMplus20m_C","Adenine",4.7,115667232,3294429,"4790499",-4.1,"HILICPos",NA,NA,NA,NA,NA,"",115667232
"180205_Smp_L2C1DCMless10m_A","Adenine",4.7,174747536,3603056,"7263946",-3.9,"HILICPos",NA,NA,NA,NA,NA,"",174747536
"180205_Smp_L2C1DCMless10m_B","Adenine",4.72,200938336,5378534,"8549362",-3.7,"HILICPos",NA,NA,NA,NA,NA,"",200938336
"180205_Smp_L2C1DCMless10m_C","Adenine",4.72,172759904,4830489,"7294484",-4.5,"HILICPos",NA,NA,NA,NA,NA,"",172759904
"180205_Smp_L2C1DCMless20m_A","Adenine",4.67,242191776,7155664,"9864875",-3.8,"HILICPos",NA,NA,NA,NA,NA,"",242191776
"180205_Smp_L2C1DCMless20m_B","Adenine",4.73,251311776,8471093,"10560238",-4.1,"HILICPos",NA,NA,NA,NA,NA,"",251311776
"180205_Smp_L2C1DCMless20m_C","Adenine",4.69,179679520,5912554,"7562207",-4.3,"HILICPos",NA,NA,NA,NA,NA,"",179679520
"180205_Smp_L2C2DCM_A","Adenine",4.73,166326992,4566615,"7141646",-4.3,"HILICPos",NA,NA,NA,NA,NA,"",166326992
"180205_Smp_L2C2DCM_B","Adenine",4.78,170685024,4399525,"7031070",-4.2,"HILICPos",NA,NA,NA,NA,NA,"",170685024
"180205_Smp_L2C2DCM_C","Adenine",4.72,194998832,5259883,"7709578",-4,"HILICPos",NA,NA,NA,NA,NA,"",194998832
"180205_Smp_L2C2DCMplus10m_A","Adenine",4.78,311287424,7400997,"12792403",-4,"HILICPos",NA,NA,NA,NA,NA,"",311287424
"180205_Smp_L2C2DCMplus10m_B","Adenine",4.75,155831680,5478659,"6539073",-3.8,"HILICPos",NA,NA,NA,NA,NA,"",155831680
"180205_Smp_L2C2DCMplus10m_C","Adenine",4.72,134113872,3375063,"5666197",-4.4,"HILICPos",NA,NA,NA,NA,NA,"",134113872
"180205_Smp_L2C2DCMplus20m_A","Adenine",4.71,147046000,3666740,"6170079",-3.9,"HILICPos",NA,NA,NA,NA,NA,"",147046000
"180205_Smp_L2C2DCMplus20m_B","Adenine",4.72,127638720,3171962,"5390975",-3.9,"HILICPos",NA,NA,NA,NA,NA,"",127638720
"180205_Smp_L2C2DCMplus20m_C","Adenine",4.75,108914672,2770868,"4380416",-4.1,"HILICPos",NA,NA,NA,NA,NA,"",108914672
"180205_Std_4uMStdsInH2O_1","Adenosine",4.46,1025127936,9495309,"31318444",-2.5,"HILICPos",NA,NA,NA,NA,NA,"",1025127936
"180205_Std_4uMStdsInH2O_2","Adenosine",4.4,938380096,9249222,"31769150",-2.8,"HILICPos",NA,NA,NA,NA,NA,"",938380096
"180205_Std_4uMStdsInMatrix_1","Adenosine",4.47,1099705216,8667202,"34601784",-2.3,"HILICPos",NA,NA,NA,NA,NA,"",1099705216
"180205_Std_4uMStdsInMatrix_2","Adenosine",4.38,934509312,11502006,"30511404",-3.1,"HILICPos",NA,NA,NA,NA,NA,"",934509312
"180205_Blk_MQBlk_1","Adenosine",4.72,419747,0,"17453",-2.1,"HILICPos",NA,NA,NA,NA,"blank.Flag","blank.Flag",419747
"180205_Blk_MQBlk_2","Adenosine",4.52,22702,0,"8477",-1.9,"HILICPos",NA,NA,NA,NA,"blank.Flag","blank.Flag",22702
"180205_Blk_MQBlk_3","Adenosine",4.46,5295,0,"3013",-0.2,"HILICPos",NA,NA,NA,NA,"blank.Flag","blank.Flag",5295
"180205_Blk_SWBlk_1","Adenosine",4.46,233628,0,"14556",-1.4,"HILICPos",NA,NA,NA,NA,"blank.Flag","blank.Flag",233628
"180205_Blk_SWBlk_2","Adenosine",4.56,850743,0,"34422",-1.9,"HILICPos",NA,NA,NA,NA,NA,"",850743
"180205_Blk_SWBlk_3","Adenosine",4.4,413545,0,"20457",-2.2,"HILICPos",NA,NA,NA,NA,"blank.Flag","blank.Flag",413545
"180205_Poo_Sept29QC_1","Adenosine",4.52,26663288,0,"957134",-1.8,"HILICPos",NA,NA,NA,NA,NA,"",26663288
"180205_Poo_Sept29QC_2","Adenosine",4.46,15603935,139086,"551907",-2.1,"HILICPos",NA,NA,NA,NA,NA,"",15603935
"180205_Poo_Sept29QC_3","Adenosine",4.46,21942706,0,"845517",-2.3,"HILICPos",NA,NA,NA,NA,NA,"",21942706
"180205_Poo_Sept29QC_4","Adenosine",4.55,16574434,156167,"608890",-2.1,"HILICPos",NA,NA,NA,NA,NA,"",16574434
"180205_Poo_TruePoo_Full1","Adenosine",4.43,64243916,692912,"2334515",-2,"HILICPos",NA,NA,NA,NA,NA,"",64243916
"180205_Poo_TruePoo_Full2","Adenosine",4.46,45978632,522788,"1743004",-2.4,"HILICPos",NA,NA,NA,NA,NA,"",45978632
"180205_Poo_TruePoo_Full3","Adenosine",4.49,68006808,519493,"2408897",-2.8,"HILICPos",NA,NA,NA,NA,NA,"",68006808
"180205_Poo_TruePoo_Half1","Adenosine",4.42,32190434,102236,"1071085",-2.1,"HILICPos",NA,NA,NA,NA,NA,"",32190434
"180205_Poo_TruePoo_Half2","Adenosine",4.47,21593426,0,"716218",-2,"HILICPos",NA,NA,NA,NA,NA,"",21593426
"180205_Poo_TruePoo_Half3","Adenosine",4.46,32406618,91859,"1120529",-2.2,"HILICPos",NA,NA,NA,NA,NA,"",32406618
"180205_Smp_L1C32DCMless10m_A","Adenosine",4.52,28007420,250352,"1058096",-2,"HILICPos",NA,NA,NA,NA,NA,"",28007420
"180205_Smp_L1C32DCMless10m_B","Adenosine",4.46,36780480,522971,"1313687",-1.8,"HILICPos",NA,NA,NA,NA,NA,"",36780480
"180205_Smp_L1C32DCMless10m_C","Adenosine",4.44,73620704,556649,"2668529",-2.4,"HILICPos",NA,NA,NA,NA,NA,"",73620704
"180205_Smp_L1C32DCMless20m_A","Adenosine",4.5,32175010,224727,"1223377",-2.1,"HILICPos",NA,NA,NA,NA,NA,"",32175010
"180205_Smp_L1C32DCMless20m_B","Adenosine",4.47,102299608,1327855,"3988882",-2.2,"HILICPos",NA,NA,NA,NA,NA,"",102299608
"180205_Smp_L1C32DCMless20m_C","Adenosine",4.43,87841472,970693,"3083759",-2.6,"HILICPos",NA,NA,NA,NA,NA,"",87841472
"180205_Smp_L1C33DCM_A","Adenosine",4.49,41658252,123647,"1449329",-2.6,"HILICPos",NA,NA,NA,NA,NA,"",41658252
"180205_Smp_L1C33DCM_B","Adenosine",4.52,74559520,793537,"2714178",-2,"HILICPos",NA,NA,NA,NA,NA,"",74559520
"180205_Smp_L1C33DCM_C","Adenosine",4.49,51309352,641855,"1919654",-2.4,"HILICPos",NA,NA,NA,NA,NA,"",51309352
"180205_Smp_L1C33DCMplus10m_A","Adenosine",4.43,55034296,491972,"2005279",-2.2,"HILICPos",NA,NA,NA,NA,NA,"",55034296
"180205_Smp_L1C33DCMplus10m_B","Adenosine",4.52,68861144,682578,"2397023",-2,"HILICPos",NA,NA,NA,NA,NA,"",68861144
"180205_Smp_L1C33DCMplus10m_C","Adenosine",4.46,69587616,787659,"2392145",-2.3,"HILICPos",NA,NA,NA,NA,NA,"",69587616
"180205_Smp_L1C33DCMplus20m_A","Adenosine",4.52,27965544,227771,"1053670",-2.2,"HILICPos",NA,NA,NA,NA,NA,"",27965544
"180205_Smp_L1C33DCMplus20m_B","Adenosine",4.44,21031906,0,"755988",-2.1,"HILICPos",NA,NA,NA,NA,NA,"",21031906
"180205_Smp_L1C33DCMplus20m_C","Adenosine",4.43,40048136,41791,"1498733",-2.2,"HILICPos",NA,NA,NA,NA,NA,"",40048136
"180205_Smp_L2C1DCMless10m_A","Adenosine",4.5,46452880,675517,"1877536",-2.1,"HILICPos",NA,NA,NA,NA,NA,"",46452880
"180205_Smp_L2C1DCMless10m_B","Adenosine",4.49,47253884,620849,"1815733",-1.9,"HILICPos",NA,NA,NA,NA,NA,"",47253884
"180205_Smp_L2C1DCMless10m_C","Adenosine",4.49,65142260,734196,"2227726",-2.7,"HILICPos",NA,NA,NA,NA,NA,"",65142260
"180205_Smp_L2C1DCMless20m_A","Adenosine",4.52,99894936,1468166,"3608184",-2,"HILICPos",NA,NA,NA,NA,NA,"",99894936
"180205_Smp_L2C1DCMless20m_B","Adenosine",4.47,77731592,1002949,"2600117",-2.2,"HILICPos",NA,NA,NA,NA,NA,"",77731592
"180205_Smp_L2C1DCMless20m_C","Adenosine",4.44,45945580,42487,"1676688",-2.5,"HILICPos",NA,NA,NA,NA,NA,"",45945580
"180205_Smp_L2C2DCM_A","Adenosine",4.45,39377304,159297,"1477772",-2.4,"HILICPos",NA,NA,NA,NA,NA,"",39377304
"180205_Smp_L2C2DCM_B","Adenosine",4.44,80123408,1070628,"2940155",-2.3,"HILICPos",NA,NA,NA,NA,NA,"",80123408
"180205_Smp_L2C2DCM_C","Adenosine",4.43,55544772,699377,"1927447",-2.1,"HILICPos",NA,NA,NA,NA,NA,"",55544772
"180205_Smp_L2C2DCMplus10m_A","Adenosine",4.49,31627736,442717,"1190549",-2,"HILICPos",NA,NA,NA,NA,NA,"",31627736
"180205_Smp_L2C2DCMplus10m_B","Adenosine",4.43,32087880,230893,"1121824",-2.1,"HILICPos",NA,NA,NA,NA,NA,"",32087880
"180205_Smp_L2C2DCMplus10m_C","Adenosine",4.52,29488994,19579,"1056612",-2.7,"HILICPos",NA,NA,NA,NA,NA,"",29488994
"180205_Smp_L2C2DCMplus20m_A","Adenosine",4.46,31016354,125807,"1120085",-2.1,"HILICPos",NA,NA,NA,NA,NA,"",31016354
"180205_Smp_L2C2DCMplus20m_B","Adenosine",4.46,26702470,122769,"968017",-2.1,"HILICPos",NA,NA,NA,NA,NA,"",26702470
"180205_Smp_L2C2DCMplus20m_C","Adenosine",4.41,26180198,2749,"896016",-2.4,"HILICPos",NA,NA,NA,NA,NA,"",26180198
"180205_Std_4uMStdsInH2O_1","Adenosyl Homocysteine",10.21,174997888,2975446,"11170965",-1.6,"HILICPos",NA,NA,NA,NA,NA,"",174997888
"180205_Std_4uMStdsInH2O_2","Adenosyl Homocysteine",9.83,96292464,1291197,"6588279",-1.8,"HILICPos",NA,NA,NA,NA,NA,"",96292464
"180205_Std_4uMStdsInMatrix_1","Adenosyl Homocysteine",10.37,47021816,500923,"2951692",-1.4,"HILICPos",NA,NA,NA,NA,NA,"",47021816
"180205_Std_4uMStdsInMatrix_2","Adenosyl Homocysteine",10.26,43340564,0,"1651735",-2.1,"HILICPos",NA,NA,NA,NA,NA,"",43340564
"180205_Blk_MQBlk_1","Adenosyl Homocysteine",13,4877,0,"4666",5.1,"HILICPos",NA,NA,NA,NA,"blank.Flag","blank.Flag",4877
"180205_Blk_MQBlk_2","Adenosyl Homocysteine",8.67,7077,0,"7668",15.9,"HILICPos",NA,NA,"ppm.Flag",NA,"blank.Flag","ppm.Flag, blank.Flag",7077
"180205_Blk_MQBlk_3","Adenosyl Homocysteine",NA,NA,NA,"#N/A",NA,"HILICPos",NA,NA,NA,NA,NA,"",NA
"180205_Blk_SWBlk_1","Adenosyl Homocysteine",11.23,5285,0,"5198",4.4,"HILICPos",NA,NA,NA,NA,"blank.Flag","blank.Flag",5285
"180205_Blk_SWBlk_2","Adenosyl Homocysteine",7.14,4665,0,"4347",4.2,"HILICPos",NA,NA,NA,NA,"blank.Flag","blank.Flag",4665
"180205_Blk_SWBlk_3","Adenosyl Homocysteine",5.24,9373,0,"3661",0.6,"HILICPos",NA,NA,NA,NA,NA,"",9373
"180205_Poo_Sept29QC_1","Adenosyl Homocysteine",8.36,658774,0,"57244",-7.1,"HILICPos",NA,NA,"ppm.Flag",NA,NA,"ppm.Flag, ",658774
"180205_Poo_Sept29QC_2","Adenosyl Homocysteine",4.75,4914,0,"4663",-3.4,"HILICPos",NA,NA,NA,NA,"blank.Flag","blank.Flag",4914
"180205_Poo_Sept29QC_3","Adenosyl Homocysteine",6.29,4827,0,"4470",-0.1,"HILICPos",NA,NA,NA,NA,"blank.Flag","blank.Flag",4827
"180205_Poo_Sept29QC_4","Adenosyl Homocysteine",6.54,5935,0,"3986",0.7,"HILICPos",NA,NA,NA,NA,"blank.Flag","blank.Flag",5935
"180205_Poo_TruePoo_Full1","Adenosyl Homocysteine",8.32,990184,0,"75793",-7.2,"HILICPos",NA,NA,"ppm.Flag",NA,NA,"ppm.Flag, ",990184
"180205_Poo_TruePoo_Full2","Adenosyl Homocysteine",5.19,5095,0,"5178",8.3,"HILICPos",NA,NA,"ppm.Flag",NA,"blank.Flag","ppm.Flag, blank.Flag",5095
"180205_Poo_TruePoo_Full3","Adenosyl Homocysteine",6.69,10240,0,"7984",-0.1,"HILICPos",NA,NA,NA,NA,NA,"",10240
"180205_Poo_TruePoo_Half1","Adenosyl Homocysteine",10.49,5701,0,"4250",-1.8,"HILICPos",NA,NA,NA,NA,"blank.Flag","blank.Flag",5701
"180205_Poo_TruePoo_Half2","Adenosyl Homocysteine",NA,NA,NA,"#N/A",NA,"HILICPos",NA,NA,NA,NA,NA,"",NA
"180205_Poo_TruePoo_Half3","Adenosyl Homocysteine",6.19,5273,0,"2979",1.6,"HILICPos",NA,NA,NA,NA,"blank.Flag","blank.Flag",5273
"180205_Smp_L1C32DCMless10m_A","Adenosyl Homocysteine",8.4,400008,0,"33015",-7.3,"HILICPos",NA,NA,"ppm.Flag",NA,NA,"ppm.Flag, ",400008
"180205_Smp_L1C32DCMless10m_B","Adenosyl Homocysteine",3.63,6062,0,"4458",1.4,"HILICPos",NA,NA,NA,NA,"blank.Flag","blank.Flag",6062
